,date,ft
84,2018-04-23,29
1282,2018-04-23,29
219,2018-04-27,42
1143,2018-04-27,42
1046,2018-04-28,47
300,2018-05-02,43
31,2018-05-04,59
1079,2018-05-09,52
887,2018-05-09,43
611,2018-05-14,43
974,2018-05-14,45
1303,2018-05-15,29
333,2018-05-15,29
73,2018-05-17,43
227,2018-05-17,43
962,2018-05-18,49
1035,2018-05-18,43
719,2018-05-21,42
147,2018-05-21,52
604,2018-05-21,36
973,2018-05-21,36
267,2018-05-21,42
1152,2018-05-23,49
699,2018-05-24,43
1288,2018-05-24,43
1220,2018-05-31,47
1098,2018-05-31,46
642,2018-06-01,48
784,2018-06-06,42
532,2018-06-06,42
581,2018-06-07,53
385,2018-06-18,29
559,2018-06-18,29
375,2018-06-20,53
519,2018-06-21,55
396,2018-06-21,42
289,2018-06-21,42
597,2018-06-25,53
851,2018-06-26,53
1045,2018-06-27,53
655,2018-06-27,53
602,2018-06-27,53
664,2018-06-29,36
567,2018-06-29,36
833,2018-07-05,53
1132,2018-07-11,29
394,2018-07-11,29
1147,2018-07-17,53
126,2018-07-17,53
1193,2018-07-22,53
672,2018-07-24,60
343,2018-07-26,42
384,2018-07-26,42
130,2018-07-27,53
534,2018-08-01,53
1370,2018-08-02,36
526,2018-08-02,36
201,2018-08-07,53
309,2018-08-07,53
1111,2018-08-07,53
239,2018-08-09,73
173,2018-08-13,53
798,2018-08-14,53
1292,2018-08-14,66
720,2018-08-14,53
923,2018-08-14,53
771,2018-08-15,55
443,2018-08-20,73
877,2018-08-20,42
696,2018-08-20,57
1318,2018-08-20,42
783,2018-08-22,54
942,2018-08-22,53
115,2018-08-25,63
369,2018-08-26,56
1197,2018-08-27,56
830,2018-08-27,57
1023,2018-08-28,61
438,2018-08-28,62
1223,2018-08-28,53
139,2018-08-31,54
859,2018-08-31,61
1244,2018-08-31,58
1256,2018-09-04,59
820,2018-09-05,59
356,2018-09-06,63
603,2018-09-07,61
421,2018-09-09,53
437,2018-09-09,53
527,2018-09-11,61
1273,2018-09-14,42
575,2018-09-14,42
593,2018-09-18,59
174,2018-09-21,59
328,2018-09-27,59
339,2018-09-27,59
632,2018-09-28,59
457,2018-09-28,36
504,2018-09-28,36
1103,2018-09-28,59
1260,2018-09-29,60
804,2018-10-04,59
1368,2018-10-05,59
1203,2018-10-05,59
840,2018-10-05,59
1094,2018-10-10,59
80,2018-10-15,59
793,2018-10-15,59
37,2018-10-16,42
291,2018-10-16,42
1283,2018-10-18,61
409,2018-10-18,60
522,2018-10-24,59
925,2018-10-24,59
552,2018-10-24,59
207,2018-10-25,53
690,2018-10-25,53
346,2018-10-25,59
536,2018-10-26,59
69,2018-10-31,59
745,2018-10-31,59
595,2018-11-02,60
180,2018-11-02,60
1267,2018-11-05,59
934,2018-11-05,59
203,2018-11-07,59
1068,2018-11-07,59
1328,2018-11-08,59
340,2018-11-13,61
530,2018-11-13,42
1250,2018-11-13,42
1034,2018-11-14,60
191,2018-11-17,61
1176,2018-11-19,68
1350,2018-11-19,68
656,2018-11-20,61
911,2018-11-23,61
380,2018-11-26,42
1321,2018-11-26,42
1317,2018-11-26,53
1110,2018-11-26,53
90,2018-11-26,59
1268,2018-11-26,59
261,2018-11-27,61
129,2018-11-28,61
256,2018-11-30,61
442,2018-12-03,61
876,2018-12-03,61
29,2018-12-13,60
25,2018-12-13,61
778,2018-12-13,61
357,2018-12-14,59
1097,2018-12-14,59
712,2018-12-14,81
978,2018-12-14,61
872,2018-12-15,60
272,2018-12-16,53
163,2018-12-16,53
235,2018-12-19,42
202,2018-12-19,42
619,2018-12-27,60
1278,2019-01-03,60
910,2019-01-10,61
477,2019-01-10,61
660,2019-01-10,62
263,2019-01-11,60
881,2019-01-15,60
270,2019-01-15,60
1136,2019-01-16,59
92,2019-01-16,62
578,2019-01-16,59
1156,2019-01-16,63
810,2019-01-17,63
1125,2019-01-17,63
1364,2019-01-24,53
379,2019-01-24,53
52,2019-01-29,80
1201,2019-01-29,63
875,2019-01-29,63
155,2019-01-30,70
1315,2019-01-31,62
407,2019-02-01,61
1254,2019-02-01,61
1037,2019-02-01,63
506,2019-02-04,63
426,2019-02-07,64
945,2019-02-11,65
1050,2019-02-12,62
1357,2019-02-13,42
98,2019-02-13,42
1158,2019-02-18,70
556,2019-02-19,63
439,2019-02-19,63
1055,2019-02-19,63
315,2019-02-21,70
1182,2019-02-22,63
715,2019-02-26,59
749,2019-02-26,64
1151,2019-02-26,59
639,2019-02-28,53
247,2019-02-28,63
101,2019-02-28,53
276,2019-02-28,61
788,2019-02-28,63
592,2019-02-28,61
689,2019-02-28,63
765,2019-03-01,63
555,2019-03-04,67
916,2019-03-04,63
293,2019-03-04,63
1342,2019-03-05,66
913,2019-03-12,66
558,2019-03-19,66
906,2019-03-25,61
705,2019-03-25,66
1025,2019-03-25,59
732,2019-03-25,66
738,2019-03-25,59
1064,2019-03-25,53
172,2019-03-25,53
645,2019-03-25,61
427,2019-04-03,66
1271,2019-04-05,66
667,2019-04-08,66
807,2019-04-08,66
175,2019-04-11,66
1164,2019-04-13,66
1174,2019-04-16,66
353,2019-04-22,72
205,2019-04-23,59
314,2019-04-23,59
919,2019-04-25,74
669,2019-04-26,72
520,2019-04-29,66
1010,2019-04-30,69
114,2019-05-01,53
250,2019-05-01,53
370,2019-05-03,66
867,2019-05-04,68
449,2019-05-07,66
1365,2019-05-07,67
32,2019-05-07,67
933,2019-05-08,61
354,2019-05-08,61
601,2019-05-13,67
363,2019-05-14,67
1157,2019-05-14,67
759,2019-05-16,66
326,2019-05-16,66
502,2019-05-23,71
862,2019-05-27,59
845,2019-05-27,59
1215,2019-05-28,67
1226,2019-05-28,67
644,2019-05-28,69
386,2019-05-28,68
1277,2019-05-28,67
167,2019-05-29,67
120,2019-05-31,71
844,2019-06-04,73
932,2019-06-06,61
865,2019-06-06,66
1319,2019-06-06,73
458,2019-06-06,61
773,2019-06-06,66
1234,2019-06-11,73
838,2019-06-19,73
1108,2019-06-19,73
1120,2019-06-21,74
1138,2019-06-21,69
794,2019-06-23,73
1210,2019-06-23,69
351,2019-06-23,70
640,2019-06-29,69
622,2019-06-29,72
318,2019-07-08,61
1166,2019-07-08,66
729,2019-07-08,66
1336,2019-07-08,59
387,2019-07-08,59
528,2019-07-08,61
570,2019-07-11,75
491,2019-07-16,73
1145,2019-07-16,74
360,2019-07-17,70
280,2019-07-18,73
397,2019-07-18,73
112,2019-07-18,72
64,2019-07-30,75
1041,2019-07-30,73
164,2019-08-05,61
1236,2019-08-05,61
283,2019-08-05,66
907,2019-08-05,73
951,2019-08-05,66
144,2019-08-05,73
1202,2019-08-07,73
284,2019-08-07,76
215,2019-08-13,73
628,2019-08-13,73
995,2019-08-19,61
61,2019-08-19,66
